instance timestamp,query,domain size,run id,itr exponent,itr start,itr end,itr num,tuples added,bag semantics,max bag size,processor,lp_results: witness computation time,lp_results: number of witnesses,lp_results: Solve Time,lp_results: Solver Solution Time,lp_results: resilience lp approximation,lp_results: Resilience,lp_results: error,ilp_results: witness computation time,ilp_results: number of witnesses,ilp_results: Solve Time,ilp_results: Solver Solution Time,ilp_results: Resilience,ilp_results: error,ilp_results_600: witness computation time,ilp_results_600: number of witnesses,ilp_results_600: Solve Time,ilp_results_600: Solver Solution Time,ilp_results_600: Resilience,ilp_results_600: error,ilp_results_60: witness computation time,ilp_results_60: number of witnesses,ilp_results_60: Solve Time,ilp_results_60: Solver Solution Time,ilp_results_60: Resilience,ilp_results_60: error,ilp_results_10: witness computation time,ilp_results_10: number of witnesses,ilp_results_10: Solve Time,ilp_results_10: Solver Solution Time,ilp_results_10: Resilience,ilp_results_10: error,flow_tuple_linearization_networkx_results: Resilience,flow_tuple_linearization_networkx_results: Solve Time,flow_tuple_linearization_lp_results: Resilience,flow_tuple_linearization_lp_results: Solve Time,flow_witness_linearization_networkx_results: Resilience,flow_witness_linearization_networkx_results: Solve Time,flow_witness_linearization_lp_results: Resilience,flow_witness_linearization_lp_results: Solve Time
1731639804.501084,3Star,100,1731639799.648564,2.3737373737373737,0.5,4.0,100,236,False,0,x86_64,0.034215668216347694,1,0.10543141886591911,0.09767031669616699,1,1.0,,0.037361716851592064,1,0.040017927065491676,0.03984999656677246,1.0,,0.03736186400055885,1,0.04147973656654358,0.04129338264465332,1.0,,0.03659227304160595,1,0.04161933995783329,0.04146313667297363,1.0,,0.03686502017080784,1,0.040471186861395836,0.04030418395996094,1.0,,1.0,0.01984942890703678,1.0,0.1342172585427761,1.0,0.024723732843995094,1.0,0.23726564832031727
1731639806.464924,3Star,100,1731639799.648564,2.409090909090909,0.5,4.0,100,256,False,0,x86_64,0.033575648441910744,3,0.04176040180027485,0.04160761833190918,2,2.0,,0.03850412741303444,3,0.03856420889496803,0.03838539123535156,2.0,,0.036923496052622795,3,0.0420469306409359,0.04187750816345215,2.0,,0.03765005059540272,3,0.046891212463378906,0.046720266342163086,2.0,,0.040486956015229225,3,0.04631443880498409,0.04614686965942383,2.0,,2.0,0.01518106460571289,2.0,0.12530885823071003,2.0,0.02875882014632225,2.0,0.3002511151134968
1731639808.45154,3Star,100,1731639799.648564,2.4444444444444446,0.5,4.0,100,278,False,0,x86_64,0.03549161180853844,8,0.10921453684568405,0.10902667045593262,5,5.0,,0.057318950071930885,8,0.3967585936188698,0.3965437412261963,5.0,,0.05840272828936577,8,0.21426398307085037,0.2140049934387207,5.0,,0.05818861350417137,8,0.16426562145352364,0.1640310287475586,5.0,,0.05857178568840027,8,0.04193996824324131,0.04172372817993164,5.0,,6.0,0.022949105128645897,6.0,0.1495667565613985,5.0,0.04037848301231861,5.0,0.36963838525116444
1731639811.48292,3Star,100,1731639799.648564,2.4797979797979797,0.5,4.0,100,301,False,0,x86_64,0.03764897584915161,9,0.07029877603054047,0.07012629508972168,6,6.0,,0.04224206507205963,9,0.06144879013299942,0.061255455017089844,6.0,,0.04917074553668499,9,0.06516657024621964,0.06496882438659668,6.0,,0.041396211832761765,9,0.060474613681435585,0.06030869483947754,6.0,,0.04244203306734562,9,0.054967762902379036,0.05477309226989746,6.0,,7.0,0.12166791781783104,7.0,0.15203755535185337,6.0,0.039724959060549736,6.0,0.2682656440883875
1731639813.755335,3Star,100,1731639799.648564,2.515151515151515,0.5,4.0,100,327,False,0,x86_64,0.032379817217588425,11,0.04988234303891659,0.049726247787475586,8,8.0,,0.0350602138787508,11,0.04171450063586235,0.0415492057800293,8.0,,0.03416999615728855,11,0.03740363381803036,0.03723621368408203,8.0,,0.03496027737855911,11,0.03862287662923336,0.03846120834350586,8.0,,0.03441133163869381,11,0.03708132356405258,0.036927223205566406,8.0,,9.0,0.0292814988642931,9.0,0.18196802772581577,8.0,0.04373539239168167,8.0,0.2424939852207899
1731639815.759081,3Star,100,1731639799.648564,2.5505050505050506,0.5,4.0,100,355,False,0,x86_64,0.028066711500287056,14,0.03575191646814346,0.03561282157897949,10,10.0,,0.029737157747149467,14,0.047486791387200356,0.047332048416137695,10.0,,0.03010823205113411,14,0.03639132343232632,0.03625011444091797,10.0,,0.02982804924249649,14,0.03656732849776745,0.03642582893371582,10.0,,0.029950400814414024,14,0.05759826675057411,0.05745196342468262,10.0,,11.0,0.030240526422858238,11.0,0.1349524613469839,10.0,0.040773551911115646,10.0,0.24711592867970467
1731639817.63993,3Star,100,1731639799.648564,2.5858585858585856,0.5,4.0,100,385,False,0,x86_64,0.029147949069738388,16,0.03834693506360054,0.038204193115234375,12,12.0,,0.031300121918320656,16,0.03729595057666302,0.03714942932128906,12.0,,0.0320676751434803,16,0.03635810688138008,0.03618502616882324,12.0,,0.031148575246334076,16,0.04236224852502346,0.04221677780151367,12.0,,0.03303756006062031,16,0.04251447133719921,0.042353153228759766,12.0,,13.0,0.04015476442873478,13.0,0.14215519838035107,12.0,0.046616217121481895,12.0,0.2573840245604515
1731639819.680217,3Star,100,1731639799.648564,2.621212121212121,0.5,4.0,100,418,False,0,x86_64,0.03267448768019676,23,0.037987085059285164,0.03782367706298828,16,16.0,,0.03519412316381931,23,0.038774559274315834,0.038607120513916016,16.0,,0.034959347918629646,23,0.038712967187166214,0.038539886474609375,16.0,,0.035051923245191574,23,0.03873872943222523,0.0385584831237793,16.0,,0.03502849489450455,23,0.03892354853451252,0.03874635696411133,16.0,,19.0,0.10213041678071022,19.0,0.16998203471302986,17.0,0.062013205140829086,17.0,0.3692059628665447
1731639822.128359,3Star,100,1731639799.648564,2.6565656565656566,0.5,4.0,100,453,False,0,x86_64,0.032628582790493965,25,0.04003504477441311,0.039856910705566406,18,18.0,,0.035009097307920456,25,0.040179543197155,0.04001808166503906,18.0,,0.035090263932943344,25,0.043546728789806366,0.04336214065551758,18.0,,0.03538797236979008,25,0.046385226771235466,0.04622697830200195,18.0,,0.03507044166326523,25,0.04089036211371422,0.04070162773132324,18.0,,21.0,0.10909507982432842,21.0,0.1789709497243166,19.0,0.06240888684988022,19.0,0.2696957644075155
1731639824.412611,3Star,100,1731639799.648564,2.691919191919192,0.5,4.0,100,491,False,0,x86_64,0.02952982485294342,31,0.03572952374815941,0.03559064865112305,23,23.0,,0.03243253752589226,31,0.04105079919099808,0.040907859802246094,23.0,,0.03245728462934494,31,0.0392791572958231,0.039138078689575195,23.0,,0.03242846392095089,31,0.035429563373327255,0.03526902198791504,23.0,,0.03234872967004776,31,0.04651355557143688,0.046372413635253906,23.0,,26.0,0.2529929466545582,26.0,0.2064359411597252,24.0,0.07302162051200867,24.0,0.2951943874359131
1731639826.953557,3Star,100,1731639799.648564,2.727272727272727,0.5,4.0,100,533,False,0,x86_64,0.032426031306385994,39,0.04684297926723957,0.04669952392578125,24,24.0,,0.03521074540913105,39,0.0444074310362339,0.044261932373046875,24.0,,0.03540102764964104,39,0.039712101221084595,0.03955984115600586,24.0,,0.03529071435332298,39,0.049625275656580925,0.049475669860839844,24.0,,0.03535250388085842,39,0.038556527346372604,0.0384061336517334,24.0,,29.0,0.19450318440794945,29.0,0.2617433909326792,26.0,0.14608654752373695,26.0,0.3176516033709049
1731639829.780133,3Star,100,1731639799.648564,2.7626262626262625,0.5,4.0,100,578,False,0,x86_64,0.036337004974484444,47,0.045767443254590034,0.04561138153076172,26,26.0,,0.039468659088015556,47,0.04464123211801052,0.04448223114013672,26.0,,0.03843620978295803,47,0.048342492431402206,0.04817605018615723,26.0,,0.03991409204900265,47,0.04433780163526535,0.0441744327545166,26.0,,0.040026627480983734,47,0.04836558550596237,0.048195600509643555,26.0,,32.0,0.3684876598417759,32.0,0.28241389617323875,29.0,0.29706871323287487,29.0,0.3169438187032938
1731639833.178907,3Star,100,1731639799.648564,2.797979797979798,0.5,4.0,100,628,False,0,x86_64,0.054637473076581955,69,0.05069834925234318,0.050525665283203125,35,35.0,,0.057236164808273315,69,0.045744869858026505,0.04554891586303711,35.0,,0.05702501907944679,69,0.04256404563784599,0.0423741340637207,35.0,,0.05707407370209694,69,0.07401643693447113,0.07382869720458984,35.0,,0.05818435922265053,69,0.06168183498084545,0.06146955490112305,35.0,,44.0,0.6061827093362808,44.0,0.5169923473149538,38.0,0.41389210149645805,38.0,0.41760285571217537
1731639837.813344,3Star,100,1731639799.648564,2.833333333333333,0.5,4.0,100,681,False,0,x86_64,0.07013008743524551,89,0.052302511408925056,0.0521240234375,41,41.0,,0.07522908039391041,89,0.05629223585128784,0.05610513687133789,41.0,,0.07495663315057755,89,0.053314799442887306,0.05312538146972656,41.0,,0.07429132796823978,89,0.05352719500660896,0.05332064628601074,41.0,,0.07339411415159702,89,0.07011525146663189,0.06992673873901367,41.0,,53.0,0.8067374583333731,53.0,0.6596733052283525,43.0,0.35831518471241,43.0,0.43488920852541924
1731639843.180435,3Star,100,1731639799.648564,2.8686868686868685,0.5,4.0,100,739,False,0,x86_64,0.07871056906878948,99,0.061084480956196785,0.060918569564819336,48,43.60000000000001,,0.08248461969196796,99,0.0812322124838829,0.0810403823852539,44.0,,0.08877736702561378,99,0.06258535198867321,0.06240415573120117,44.0,,0.08329591155052185,99,0.12030906416475773,0.12009549140930176,44.0,,0.13045610673725605,99,0.13471807539463043,0.1343700885772705,44.0,,56.0,0.956636181101203,56.0,0.7355855647474527,47.0,0.48502762243151665,47.0,0.5300216879695654
1731639849.56746,3Star,100,1731639799.648564,2.904040404040404,0.5,4.0,100,801,False,0,x86_64,0.09747007489204407,116,0.056083038449287415,0.05590033531188965,48,48.0,,0.10030840523540974,116,0.05191808007657528,0.05173015594482422,48.0,,0.10019711591303349,116,0.04966855235397816,0.04947042465209961,48.0,,0.0998002216219902,116,0.05387006886303425,0.05366945266723633,48.0,,0.100883474573493,116,0.05782073363661766,0.05764341354370117,48.0,,62.0,1.0682035684585571,62.0,0.758601313456893,54.0,0.603231156244874,54.0,0.46109140664339066
1731639856.23149,3Star,100,1731639799.648564,2.9393939393939394,0.5,4.0,100,869,False,0,x86_64,0.09533190168440342,140,0.06735188513994217,0.06719636917114258,78,53.33333333333334,,0.09956278465688229,140,0.08060066401958466,0.08045244216918945,54.0,,0.10097737982869148,140,0.09269957803189754,0.09254693984985352,54.0,,0.09887439198791981,140,0.07075311616063118,0.07059478759765625,54.0,,0.09843068197369576,140,0.09023847989737988,0.09008574485778809,54.0,,67.0,1.2151731569319963,67.0,0.8458903506398201,59.0,0.7426995560526848,59.0,0.43389659747481346
1731639863.583422,3Star,100,1731639799.648564,2.9747474747474745,0.5,4.0,100,943,False,0,x86_64,0.13775561191141605,172,0.05621957965195179,0.05605053901672363,65,60.400000000000006,,0.13906657882034779,172,0.06161576882004738,0.06142830848693848,61.0,,0.14284723438322544,172,0.06412362307310104,0.06394696235656738,61.0,,0.14155585877597332,172,0.08050823584198952,0.08029413223266602,61.0,,0.14131652750074863,172,0.08818333968520164,0.0879979133605957,61.0,,71.0,1.5759075358510017,71.0,1.0493580549955368,64.0,0.8159467838704586,64.0,0.3911205418407917
1731639872.143725,3Star,100,1731639799.648564,3.01010101010101,0.5,4.0,100,1023,False,0,x86_64,0.16141087003052235,208,0.05214473605155945,0.05197644233703613,78,68.5,,0.17224146239459515,208,0.06464388407766819,0.06433939933776855,69.0,,0.17376325279474258,208,0.06133677996695042,0.06115889549255371,69.0,,0.16650985926389694,208,0.060847701504826546,0.06065058708190918,69.0,,0.17199915647506714,208,0.06235860288143158,0.06218242645263672,69.0,,78.0,1.7712031081318855,78.0,1.142511097714305,74.0,0.8567695748060942,74.0,0.46547148935496807
1731639881.618917,3Star,100,1731639799.648564,3.0454545454545454,0.5,4.0,100,1110,False,0,x86_64,0.18483116291463375,235,0.058338940143585205,0.058156490325927734,111,72.56161137440758,,0.18612170405685902,235,0.11044867895543575,0.11027717590332031,74.0,,0.18652752041816711,235,0.11502797156572342,0.11484980583190918,74.0,,0.1861385479569435,235,0.10992714017629623,0.10975480079650879,74.0,,0.1855759397149086,235,0.1037362813949585,0.10352754592895508,74.0,,80.0,1.9889243934303522,80.0,1.302633935585618,79.0,0.9641569443047047,79.0,0.5557331033051014
1731639892.426036,3Star,100,1731639799.648564,3.080808080808081,0.5,4.0,100,1204,False,0,x86_64,0.19413768872618675,262,0.05733846127986908,0.05716848373413086,124,76.41394658753711,,0.1988771241158247,262,1.983993761241436,1.9837942123413086,79.0,,0.23450526967644691,262,2.0263429544866085,2.0261569023132324,79.0,,0.20038103871047497,262,1.961124174296856,1.9609339237213135,79.0,,0.19123883731663227,262,1.8873437605798244,1.887176752090454,79.0,,84.0,2.0070792511105537,84.0,1.4510115552693605,82.0,1.1823758259415627,82.0,0.49872210435569286
1731639911.251189,3Star,100,1731639799.648564,3.116161616161616,0.5,4.0,100,1306,False,0,x86_64,0.22153997421264648,287,0.07753894664347172,0.07737326622009277,138,79.82556270096468,,0.21966385655105114,287,2.516516463831067,2.516333818435669,83.0,,0.22496387548744678,287,2.4829372446984053,2.4827542304992676,83.0,,0.232881348580122,287,2.4626741465181112,2.4624924659729004,83.0,,0.23664742335677147,287,2.5356893837451935,2.5354998111724854,83.0,,87.0,2.191297046840191,87.0,1.304120697081089,85.0,1.1815634369850159,85.0,0.6424995232373476
1731639932.813198,3Star,100,1731639799.648564,3.1515151515151514,0.5,4.0,100,1417,False,0,x86_64,0.2418282926082611,321,0.15386507473886013,0.15366435050964355,146,83.57513233760353,,0.28491890989243984,321,0.4802941866219044,0.4801056385040283,86.0,,0.2622067481279373,321,0.42784761264920235,0.4275517463684082,86.0,,0.24548854865133762,321,0.41081968881189823,0.4106433391571045,86.0,,0.2451009638607502,321,0.43702394515275955,0.4368412494659424,86.0,,89.0,2.3987027406692505,89.0,1.5566680431365967,88.0,1.1317954752594233,88.0,0.5213099922984838
1731639946.978036,3Star,100,1731639799.648564,3.186868686868687,0.5,4.0,100,1537,False,0,x86_64,0.27630210667848587,356,0.06565944477915764,0.06548738479614258,170,88.4701572174862,,0.2809121236205101,356,4.05061006732285,4.050421476364136,92.0,,0.2873413786292076,356,3.966147679835558,3.9659554958343506,92.0,,0.29457633569836617,356,4.105635151267052,4.1054675579071045,92.0,,0.27289555221796036,356,3.9983752761036158,3.9982078075408936,92.0,,93.0,2.428552893921733,93.0,1.7722037006169558,93.0,1.6505594681948423,93.0,0.9641584008932114
1731639977.325169,3Star,100,1731639799.648564,3.2222222222222223,0.5,4.0,100,1668,False,0,x86_64,0.2916053906083107,393,0.10965107008814812,0.10947179794311523,174,90.70417842181236,,0.2973314933478832,393,0.6650988794863224,0.664923906326294,93.0,,0.2990923337638378,393,0.5937667284160852,0.593583345413208,93.0,,0.3022121638059616,393,0.5946738999336958,0.5944931507110596,93.0,,0.29365690238773823,393,0.6119664032012224,0.6117830276489258,93.0,,93.0,2.5151179004460573,93.0,1.564497284591198,93.0,1.5753760989755392,93.0,0.7505546417087317
1731639993.744251,3Star,100,1731639799.648564,3.2575757575757573,0.5,4.0,100,1809,False,0,x86_64,0.314645754173398,438,0.09671217389404774,0.09654068946838379,188,93.07087690285906,,0.31145668402314186,438,0.6465764995664358,0.6463887691497803,96.0,,0.31865645945072174,438,0.6481109112501144,0.6479215621948242,96.0,,0.31928377598524094,438,0.6620617434382439,0.6618931293487549,96.0,,0.30512124486267567,438,0.637301467359066,0.6371362209320068,96.0,,96.0,2.5988666899502277,96.0,1.727832779288292,96.0,1.722379382699728,96.0,0.6564419027417898
1731640010.914517,3Star,100,1731639799.648564,3.292929292929293,0.5,4.0,100,1963,False,0,x86_64,0.29860913194715977,484,0.08902359381318092,0.08882308006286621,199,96.43661437843862,,0.3137661684304476,484,0.40360270999372005,0.40343785285949707,97.0,,0.3140493165701628,484,0.38360962830483913,0.3834340572357178,97.0,,0.31313351541757584,484,0.41698173619806767,0.41678309440612793,97.0,,0.31267182901501656,484,0.3947239760309458,0.39454174041748047,97.0,,97.0,2.484259709715843,97.0,1.8108121734112501,97.0,1.8731519002467394,97.0,0.7476911079138517
1731640027.500612,3Star,100,1731639799.648564,3.3282828282828283,0.5,4.0,100,2129,False,0,x86_64,0.2943674065172672,539,0.09124178625643253,0.09108185768127441,98,97.99999999999997,,0.31221530213952065,539,0.16583707369863987,0.1656665802001953,98.0,,0.33211247995495796,539,0.17894078232347965,0.1787548065185547,98.0,,0.33210286498069763,539,0.1905530672520399,0.19035840034484863,98.0,,0.32805559411644936,539,0.16923929378390312,0.16903924942016602,98.0,,98.0,2.833758344873786,98.0,1.789487324655056,98.0,1.696415726095438,98.0,0.6916659753769636
1731640043.533226,3Star,100,1731639799.648564,3.3636363636363633,0.5,4.0,100,2310,False,0,x86_64,0.3076506592333317,590,0.0954695101827383,0.09530806541442871,99,98.99999999999991,,0.31030334904789925,590,0.17969634011387825,0.17951202392578125,99.0,,0.3272356614470482,590,0.16658604331314564,0.16640663146972656,99.0,,0.33100918494164944,590,0.18003553710877895,0.17985272407531738,99.0,,0.33088389970362186,590,0.16889195330440998,0.16870379447937012,99.0,,99.0,2.8356326408684254,99.0,1.9494669828563929,99.0,2.1697400994598866,99.0,0.8214061725884676
1731640060.634463,3Star,100,1731639799.648564,3.398989898989899,0.5,4.0,100,2506,False,0,x86_64,0.3227064460515976,660,0.10146600939333439,0.101287841796875,100,99.99999999999997,,0.3266422152519226,660,0.1956008616834879,0.19541025161743164,100.0,,0.33823373913764954,660,0.19053434766829014,0.1903536319732666,100.0,,0.31709335558116436,660,0.18076480366289616,0.1805589199066162,100.0,,0.32213486544787884,660,0.1680035348981619,0.16783571243286133,100.0,,100.0,2.9631688818335533,100.0,1.896232159808278,100.0,2.183538632467389,100.0,1.0584170334041119
1731640078.329876,3Star,100,1731639799.648564,3.4343434343434343,0.5,4.0,100,2718,False,0,x86_64,0.314954474568367,702,0.10515850968658924,0.10497570037841797,100,100.0,,0.32908398285508156,702,0.18341685459017754,0.1832261085510254,100.0,,0.32807336188852787,702,0.18214843980967999,0.1819620132446289,100.0,,0.3298765867948532,702,0.19100233539938927,0.19082331657409668,100.0,,0.3294780869036913,702,0.18540982715785503,0.18523097038269043,100.0,,100.0,2.898681303486228,100.0,1.9509036727249622,100.0,2.4785210378468037,100.0,0.9023652710020542
